Jugador,Equipo,Pases_Intentados,Pases_Completados,Tiros_Totales,Goles,Presiones,Regates_Intentados,Regates_Exitosos,Quites_Intentados,Efectividad_Pases_%,Efectividad_Regates_%
Youssef En-Nesyri,Morocco,76,48,11,2,113,9,6,2,63.2,66.7
Sofyan Amrabat,Morocco,323,274,1,0,123,1,0,16,84.8,0.0
Nayef Aguerd,Morocco,154,133,1,0,16,0,0,6,86.4,0.0
Romain Saïss,Morocco,193,158,1,1,35,1,0,10,81.9,0.0
Achraf Hakimi Mouh,Morocco,380,314,5,1,104,8,3,25,82.6,37.5
Hakim Ziyech,Morocco,300,210,11,2,137,30,12,14,70.0,40.0
Yassine Bounou,Morocco,210,156,0,0,1,0,0,0,74.3,0.0
Abdelhamid Sabiri,Morocco,58,46,4,1,29,1,0,2,79.3,0.0
Sofiane Boufal,Morocco,134,107,7,0,93,20,12,11,79.9,60.0
Noussair Mazraoui,Morocco,121,103,4,0,44,2,0,15,85.1,0.0
Alphonso Davies,Canada,114,82,4,1,48,22,12,1,71.9,54.5
Azzedine Ounahi,Morocco,267,221,6,0,91,12,10,9,82.8,83.3
Jonathan David,Canada,59,43,8,0,28,4,1,1,72.9,25.0
Tajon Buchanan,Canada,88,61,5,0,43,23,10,2,69.3,43.5
Ismael Koné,Canada,102,96,0,0,17,1,1,1,94.1,100.0
Jude Bellingham,England,275,242,5,1,70,11,4,15,88.0,36.4
Bukayo Saka,England,111,84,7,3,49,5,2,9,75.7,40.0
Declan Rice,England,327,306,0,0,38,3,0,7,93.6,0.0
Harry Kane,England,97,64,12,2,31,7,3,2,66.0,42.9
Kieran Trippier,England,195,165,1,0,28,1,1,7,84.6,100.0
John Stones,England,450,430,4,0,14,1,1,3,95.6,100.0
Luke Shaw,England,402,339,3,0,31,1,1,2,84.3,100.0
Mehdi Taremi,Iran,82,61,6,2,64,5,1,2,74.4,20.0
Lionel Andrés Messi Cuccittini,Argentina,300,220,20,7,85,40,25,5,73.3,62.5
Kylian Mbappé Lottin,France,250,180,25,8,60,35,22,3,72.0,62.9
Antoine Griezmann,France,350,280,15,3,110,20,12,8,80.0,60.0
Enzo Fernández,Argentina,280,230,10,1,55,15,10,10,82.1,66.7
Julian Álvarez,Argentina,150,100,18,4,70,20,10,5,66.7,50.0
